자바, 48, 171
아자, 61, 172
다자, 74, 178
타타, 85, 171
바카, 42, 163
차하, 84, 168
라파, 68, 153
카하, 80, 179
파나, 87, 178
사파, 93, 174
라아, 43, 172
다나, 83, 188
차나, 56, 174
다라, 64, 147
하바, 83, 152
타자, 49, 141
타라, 88, 156
아라, 55, 179
나아, 63, 172
다라, 90, 173
사하, 87, 170
나하, 86, 140
타가, 51, 147
자바, 83, 156
다라, 51, 181
카카, 75, 183
나자, 94, 166
하차, 97, 151
나마, 40, 189
가타, 63, 187
차하, 84, 161
카다, 73, 181
바카, 54, 144
다파, 89, 145
사마, 57, 189
라가, 45, 168
다아, 69, 148
차가, 64, 173
하하, 64, 188
다카, 76, 166
차카, 64, 160
가마, 51, 142
다가, 94, 187
마다, 96, 143
차다, 43, 187
나타, 82, 178
파다, 94, 162
자나, 59, 142
차파, 86, 145
타하, 59, 165
나마, 53, 168
바라, 91, 169
하마, 92, 146
카자, 69, 145
사하, 98, 173
사자, 91, 161
타사, 89, 175
타아, 56, 140
바타, 87, 175
라아, 58, 167
바하, 89, 140
나가, 78, 181
나사, 51, 169
카나, 86, 156
카마, 45, 176
라카, 75, 188
카자, 78, 143
카타, 50, 152
차라, 40, 179
다사, 65, 175
나차, 91, 171
카나, 85, 143
차아, 76, 166
타차, 63, 174
차파, 81, 158
바카, 53, 143
카바, 60, 171
바아, 77, 166
타하, 78, 162
다라, 54, 171
하마, 73, 166
파타, 89, 160
다자, 82, 145
나차, 84, 156
차차, 45, 164
사파, 73, 174
아차, 40, 165
나마, 81, 188
가카, 71, 144
아차, 86, 164
가바, 59, 165
차라, 42, 159
파마, 63, 146
카자, 85, 145
가하, 43, 155
사파, 49, 188
하나, 85, 149
아나, 63, 164
자아, 90, 166
다차, 95, 185
가라, 56, 157
아사, 83, 186
자파, 85, 142
가아, 53, 145
다아, 75, 156
카바, 53, 165
차라, 77, 148
마바, 76, 166
아마, 41, 150
타나, 75, 172
마가, 61, 141
가사, 69, 160
카나, 73, 156
아아, 50, 149
파파, 96, 169
사타, 76, 174
카자, 71, 173
사마, 52, 188
사라, 96, 143
타파, 82, 179
라카, 67, 185
타바, 77, 153
자사, 84, 185
타마, 46, 141
마아, 61, 166
바바, 40, 156
바다, 63, 172
라나, 70, 156
카자, 72, 178
타차, 44, 178
라가, 75, 170
가바, 85, 157
가사, 92, 182
타바, 73, 159
하자, 41, 174
마차, 48, 151
타아, 90, 183
가타, 66, 140
타가, 88, 168
차나, 89, 177
다나, 80, 181
다사, 41, 173
타사, 48, 170
파아, 62, 144
카아, 96, 151
하자, 90, 189
자파, 87, 178
다라, 95, 185
나바, 48, 148
다카, 55, 144
라가, 60, 154
마파, 98, 147
바타, 80, 143
아사, 83, 151
자카, 71, 184
카나, 66, 140
다파, 91, 146
사사, 72, 144
아사, 83, 175
자바, 77, 182
마바, 67, 179
마하, 97, 185
가타, 55, 153
나파, 53, 163
하타, 56, 161
마하, 97, 148
사다, 47, 152
바바, 46, 159
라라, 63, 175
아자, 52, 147
파나, 66, 178
하마, 50, 167
라마, 56, 142
차파, 46, 174
가자, 74, 162
자자, 95, 174
아나, 94, 177
사파, 85, 189
타자, 45, 156
아가, 92, 152
파하, 57, 183
다아, 69, 145
바다, 62, 153
바하, 73, 143
바마, 85, 169
바하, 93, 184
사카, 82, 165
타아, 89, 173
마차, 73, 160
아사, 57, 159
마아, 54, 166
라사, 53, 157
마카, 81, 163
차차, 91, 152
아사, 59, 149
타차, 79, 184
바바, 60, 181
다나, 41, 158
자라, 71, 156
나마, 95, 163
나바, 97, 167
카사, 60, 169
마나, 82, 172
차마, 80, 147
바카, 76, 175
카라, 86, 169
카차, 79, 146
바하, 69, 165
라자, 55, 154
카하, 58, 149
가바, 98, 144
사바, 53, 181
다사, 81, 141
다나, 64, 141
카차, 52, 189
카파, 50, 159
바아, 45, 174
파하, 99, 155
나차, 95, 157
라다, 43, 176
하차, 51, 170
라바, 95, 159
다자, 54, 152
아나, 66, 169
사나, 58, 165
마사, 57, 149
가자, 99, 185
라바, 87, 140
자타, 46, 177
파차, 78, 187
나카, 41, 170
타차, 61, 165
카라, 48, 175
가하, 96, 173
아차, 43, 178
카바, 79, 181
마가, 54, 175
가다, 76, 162
나마, 41, 180
사나, 60, 142
다나, 64, 152
하바, 87, 181
자아, 97, 186
카자, 58, 184
카라, 57, 176
카아, 87, 184
가파, 62, 153
마하, 56, 180
라가, 46, 179
바가, 67, 152
나타, 45, 159
바자, 71, 161
가파, 89, 146
타자, 87, 169
하파, 87, 170
하라, 93, 152
라다, 45, 150
마차, 51, 146
카가, 76, 149
하사, 88, 152
나사, 79, 158
라바, 91, 152
파하, 67, 161
다나, 71, 155
라마, 47, 153
파가, 93, 140
마카, 78, 157
타마, 53, 178
나자, 51, 164
라타, 97, 170
타카, 93, 167
하아, 95, 156
차카, 84, 145
아마, 45, 185
다타, 72, 168
차타, 50, 155
아자, 89, 174
마사, 55, 164
다하, 99, 172
파카, 73, 172
나차, 92, 150
가다, 56, 147
가파, 54, 185
하차, 73, 189
다파, 40, 171
다파, 62, 155
자마, 80, 165
자타, 50, 177
마라, 90, 187
바라, 99, 151
바나, 98, 177
다라, 60, 184
사가, 52, 149
자마, 96, 147
카차, 51, 166
사마, 67, 149
라파, 46, 169
사다, 64, 152
마하, 92, 186
파자, 49, 166
사나, 68, 174
나사, 86, 174
카차, 87, 180
카파, 78, 161
파아, 71, 182
다라, 50, 150
타라, 65, 142
자자, 75, 149
차카, 75, 177
마파, 71, 157
바아, 59, 146
아하, 85, 186
차다, 79, 157
타가, 42, 168
차카, 66, 175
하아, 99, 184
자나, 56, 183
가차, 67, 146
바자, 96, 151
하마, 91, 168
차파, 69, 186
바다, 61, 158
바하, 78, 156
사카, 75, 189
파가, 79, 143
마타, 85, 157
자사, 46, 143
사라, 50, 143
카바, 89, 152
카마, 95, 189
다가, 83, 153
차파, 55, 140
자차, 71, 166
자자, 56, 148
타차, 93, 184
아가, 77, 148
라하, 98, 148
라파, 91, 176
타마, 51, 153
나라, 83, 150
자다, 60, 180
라바, 71, 155
마가, 86, 188
하아, 81, 178
마하, 70, 159
다아, 97, 147
아파, 58, 155
사카, 66, 151
카타, 63, 167
파파, 71, 142
나바, 67, 152
아카, 80, 166
라자, 58, 145
카자, 79, 182
카하, 60, 175
사나, 44, 148
마라, 95, 173
타바, 72, 169
타타, 48, 162
다자, 65, 153
하가, 99, 176
사사, 46, 174
가하, 55, 145
가카, 76, 155
카파, 58, 176
자나, 44, 161
아마, 63, 158
라하, 79, 158
자자, 64, 165
차카, 90, 147
나사, 82, 177
마자, 71, 171
나자, 49, 178
나바, 47, 152
라차, 72, 171
다아, 47, 163
나카, 63, 186
마다, 45, 146
차아, 60, 145
마다, 43, 146
타파, 94, 183
사하, 79, 181
하나, 90, 164
다다, 58, 164
카사, 60, 146
자타, 85, 147
나가, 77, 166
나바, 78, 183
라바, 70, 148
나사, 79, 187
가타, 52, 177
하바, 95, 180
하라, 73, 182
자자, 78, 166
아하, 68, 174
사차, 63, 178
자사, 63, 169
다다, 56, 140
마파, 83, 172
카하, 84, 187
자타, 73, 161
아라, 92, 156
사다, 61, 154
타차, 40, 141
파바, 97, 176
자다, 69, 187
파라, 98, 152
다아, 44, 142
나나, 61, 152
가아, 95, 158
파다, 53, 159
사하, 57, 186
나바, 48, 148
라나, 86, 184
카바, 59, 189
라나, 60, 177
다마, 78, 168
마가, 47, 162
사파, 92, 179
아바, 52, 154
자마, 86, 147
가라, 72, 164
하차, 71, 175
카타, 70, 189
사라, 79, 166
나나, 53, 189
차다, 59, 163
다자, 93, 179
타마, 72, 176
사나, 67, 176
자아, 62, 189
가차, 44, 186
라파, 48, 178
라다, 68, 169
다마, 42, 182
차마, 51, 165
타마, 69, 189
타타, 50, 167
아하, 69, 141
파가, 60, 164
나카, 52, 160
라하, 94, 157
차바, 44, 185
카마, 52, 148
마마, 51, 146
다타, 87, 178
마나, 62, 161
가파, 84, 152
파바, 60, 182
다자, 58, 159
파카, 81, 154
마마, 95, 185
다나, 69, 168
하카, 43, 166
마마, 72, 176
사라, 46, 183
바타, 99, 166
차사, 96, 164
차자, 87, 170
다타, 74, 142
하사, 84, 149
자아, 50, 187
사바, 81, 188
바파, 71, 172
차파, 54, 155
아파, 46, 184
다타, 89, 159
가마, 89, 172
자다, 96, 181
파마, 94, 179
라바, 48, 160
아바, 55, 157
마타, 55, 155
사타, 45, 181
차다, 50, 143
다라, 97, 176
사타, 89, 153
다파, 76, 166
아자, 92, 159
다자, 98, 145
마하, 51, 183
파라, 59, 169
차나, 51, 146
나라, 99, 151
다바, 42, 159
카차, 52, 177
타하, 86, 185
하차, 75, 158
라타, 91, 163
카바, 94, 170
하타, 81, 146
하타, 57, 171
라바, 54, 151
아나, 66, 185
나하, 96, 185
바나, 46, 166
카라, 89, 149
타자, 60, 175
다나, 69, 153
파파, 67, 157
아카, 80, 179
카가, 51, 159
가라, 46, 188
타사, 77, 147
타자, 82, 150
파하, 40, 183
가아, 48, 167
카라, 87, 147
바나, 85, 186
타카, 76, 164
카아, 61, 144
하파, 99, 154
타자, 88, 176
자바, 50, 181
라카, 89, 175
하라, 57, 155
자차, 64, 165
파파, 98, 145
라가, 73, 152
자나, 85, 147
아카, 78, 164
하자, 41, 173
자나, 77, 147
가자, 75, 159
하타, 44, 177
파아, 83, 149
자바, 62, 161
하타, 63, 166
파라, 46, 181
사자, 85, 188
다마, 97, 167
파라, 76, 143
하라, 57, 174
가가, 51, 161
사카, 44, 149
자차, 44, 188
카바, 93, 187
자타, 61, 150
바카, 55, 147
라다, 90, 156
사라, 93, 159
하사, 63, 173
카하, 75, 163
나나, 81, 159
사타, 41, 161
라라, 48, 161
타라, 42, 151
카바, 97, 179
아차, 51, 180
가마, 99, 155
타다, 47, 164
다차, 95, 147
카가, 84, 175
가나, 93, 144
라아, 40, 181
차나, 96, 150
다나, 86, 166
바바, 93, 147
타아, 50, 175
다다, 53, 145
차나, 90, 178
아라, 55, 169
가차, 82, 174
사타, 45, 143
다가, 44, 150
사사, 57, 140
아라, 82, 174
하라, 64, 152
카자, 95, 150
라파, 73, 154
다사, 58, 177
타마, 44, 178
마바, 59, 185
바바, 57, 179
자타, 40, 142
타타, 83, 168
다바, 54, 153
가하, 55, 176
나하, 57, 148
하하, 61, 185
마바, 59, 153
하타, 81, 149
나사, 46, 155
자가, 48, 143
라카, 59, 162
타타, 71, 177
가차, 53, 160
타사, 71, 149
타바, 43, 174
가자, 98, 142
사카, 90, 187
자사, 82, 140
라가, 83, 173
바라, 78, 148
나바, 62, 161
바마, 64, 144
다다, 98, 152
카가, 78, 181
나파, 48, 156
자라, 87, 163
바차, 76, 159
다카, 57, 163
나바, 71, 160
사자, 74, 183
바타, 71, 147
파사, 63, 155
아카, 99, 141
바사, 82, 156
사차, 73, 152
차하, 81, 170
자카, 49, 146
아바, 40, 177
마라, 92, 158
아타, 78, 176
아하, 91, 175
마차, 49, 186
다바, 60, 164
파자, 79, 168
라차, 90, 180
자가, 71, 186
다타, 73, 157
아다, 64, 154
타아, 64, 184
바타, 60, 184
나나, 48, 168
라자, 93, 145
나라, 65, 158
나다, 78, 189
카나, 80, 154
다라, 49, 153
사바, 61, 149
파나, 64, 174
파가, 93, 143
사카, 48, 185
아사, 75, 188
라카, 69, 165
아타, 62, 158
가하, 60, 150
라가, 77, 184
나차, 69, 168
바사, 64, 173
파차, 44, 183
라카, 96, 141
아자, 91, 155
바사, 81, 164
차바, 46, 157
타자, 75, 174
자라, 65, 189
타카, 70, 152
가나, 62, 148
타자, 58, 163
파라, 69, 150
카아, 67, 189
바라, 94, 144
사차, 48, 158
다마, 46, 149
카라, 71, 153
아라, 77, 169
자라, 46, 183
사차, 43, 172
하자, 89, 158
사타, 44, 156
다하, 80, 166
다카, 97, 178
차다, 74, 175
파아, 76, 154
파파, 77, 167
다가, 75, 145
라파, 61, 167
나아, 57, 142
가바, 81, 153
가차, 84, 182
라자, 62, 178
파사, 50, 162
카나, 88, 170
사나, 83, 166
바가, 61, 178
타카, 88, 157
마사, 52, 174
카타, 84, 153
카차, 40, 149
파나, 54, 178
아자, 95, 181
마사, 79, 143
카바, 49, 177
사카, 96, 185
타카, 54, 186
가나, 96, 170
하자, 65, 151
파바, 58, 151
파차, 45, 178
라바, 52, 184
아라, 44, 169
나자, 48, 189
바나, 73, 148
타아, 47, 155
하가, 61, 184
아차, 94, 174
자바, 79, 141
다바, 46, 143
파바, 59, 157
나바, 88, 189
타다, 85, 153
하바, 82, 156
타타, 80, 165
타다, 56, 159
자파, 82, 172
라바, 97, 152
바라, 94, 169
차파, 99, 184
자다, 98, 142
하자, 48, 177
파사, 52, 151
아나, 44, 143
다자, 78, 185
가바, 87, 161
타나, 89, 173
파라, 67, 189
차사, 44, 154
다사, 77, 149
타가, 46, 144
라라, 46, 162
자바, 89, 160
아카, 81, 186
바가, 41, 174
라타, 60, 150
가아, 83, 156
가카, 99, 170
카라, 76, 186
다하, 62, 170
차타, 64, 185
바라, 67, 182
파라, 64, 174
가자, 58, 181
하라, 77, 165
가타, 75, 172
다하, 99, 156
차차, 85, 185
아나, 96, 166
나아, 47, 179
라자, 45, 178
하라, 78, 159
타차, 60, 179
가바, 97, 160
나사, 61, 154
마마, 50, 176
자카, 95, 153
다아, 55, 176
하타, 70, 143
마라, 42, 151
파파, 62, 178
파파, 86, 165
라자, 47, 148
사차, 50, 157
바가, 57, 172
라아, 90, 187
사다, 71, 153
사파, 88, 162
나타, 44, 156
다다, 99, 169
가카, 59, 154
타자, 43, 159
다아, 67, 155
하가, 66, 160
차나, 46, 179
자마, 47, 186
타나, 52, 181
차나, 69, 158
타라, 79, 189
사사, 88, 186
바파, 95, 187
카카, 60, 154
라타, 53, 164
바나, 52, 160
자마, 65, 173
다파, 70, 172
마아, 74, 169
나나, 94, 148
라아, 67, 179
자라, 62, 164
나파, 72, 182
하다, 52, 182
사아, 87, 152
라마, 67, 158
라타, 48, 153
바나, 78, 163
하자, 77, 153
나다, 69, 174
자바, 85, 141
자나, 60, 141
하바, 40, 174
하차, 82, 158
자다, 58, 156
다라, 76, 145
마나, 47, 145
파파, 94, 188
라아, 41, 187
사다, 96, 160
사바, 51, 176
다다, 92, 187
하바, 45, 144
사차, 61, 156
바아, 89, 160
카카, 71, 148
나바, 69, 178
마마, 94, 175
자다, 55, 169
하하, 83, 174
하사, 56, 189
다파, 71, 158
카라, 53, 183
바바, 61, 187
파차, 83, 147
다사, 66, 170
아마, 94, 143
라카, 98, 168
차파, 89, 164
하다, 58, 169
사바, 46, 168
나다, 57, 188
다다, 57, 155
바사, 54, 162
가바, 46, 152
라카, 63, 157
타차, 85, 146
카가, 98, 146
바파, 59, 169
다사, 96, 174
